checked_at,route_id,probe_type,outbound_date,return_date,price,airlines,stops,duration_minutes,price_level,typical_low,typical_high
2026-08-27T13:05:54+00:00,blr_mxp_biz,rotating,2027-03-27,,103341,Etihad,1,1065,high,86000,99000
2026-08-27T13:06:00+00:00,blr_fco_biz,rotating,2027-03-27,,90555,Saudia,1,885,,,
2026-08-27T13:06:02+00:00,blr_zrh_biz,rotating,2027-03-27,,86773,Saudia,1,940,,,
2026-08-27T13:06:07+00:00,blr_mxp_bid,rotating,2027-03-27,2027-04-10,52509,Akasa Air / Etihad,1,790,,,
2026-08-27T13:18:15+00:00,blr_mxp_bid,rotating,2027-03-19,2027-04-02,55144,Akasa Air / Etihad,1,790,,,
2026-08-27T13:18:25+00:00,blr_mxp_bid,recheck,2027-03-27,2027-04-10,52509,Akasa Air / Etihad,1,790,,,
2026-08-28T21:54:43+00:00,blr_mxp_bid,rotating,2027-03-20,2027-04-03,52469,Akasa Air / Etihad,1,790,,,
2026-08-28T21:54:46+00:00,blr_mxp_bid,recheck,2027-03-27,2027-04-10,52469,Akasa Air / Etihad,1,790,,,
2026-08-29T01:46:55+00:00,blr_mxp_bid,rotating,2027-03-26,2027-04-09,56107,Akasa Air / Etihad,1,790,,,
2026-08-29T01:46:59+00:00,blr_mxp_bid,recheck,2027-03-20,2027-04-03,52469,Akasa Air / Etihad,1,790,,,
2026-08-30T01:47:27+00:00,blr_mxp_bid,rotating,2027-03-27,2027-04-10,52469,Akasa Air / Etihad,1,790,,,
2026-08-30T01:47:31+00:00,blr_mxp_bid,recheck,2027-03-20,2027-04-03,52469,Akasa Air / Etihad,1,790,,,
2026-08-31T01:47:10+00:00,blr_mxp_bid,rotating,2027-03-19,2027-04-02,55104,Akasa Air / Etihad,1,790,,,
2026-08-31T01:47:14+00:00,blr_mxp_bid,recheck,2027-03-20,2027-04-03,52469,Akasa Air / Etihad,1,790,,,
2026-09-01T01:48:55+00:00,blr_mxp_bid,rotating,2027-03-20,2027-04-03,55013,Akasa Air / Etihad,1,790,,,
2026-09-02T01:59:25+00:00,blr_mxp_bid,rotating,2027-03-26,2027-04-09,55547,Akasa Air / Etihad,1,790,,,
2026-09-02T01:59:29+00:00,blr_mxp_bid,recheck,2027-03-20,2027-04-03,52282,Akasa Air / Etihad,1,790,,,
2026-09-03T01:50:03+00:00,blr_mxp_bid,rotating,2027-03-27,2027-04-10,52151,Akasa Air / Etihad,1,790,,,
2026-09-03T01:50:09+00:00,blr_mxp_bid,recheck,2027-03-20,2027-04-03,52151,Akasa Air / Etihad,1,790,,,
2026-09-04T01:49:05+00:00,blr_mxp_bid,rotating,2027-03-19,2027-04-02,52063,Akasa Air / Etihad,1,790,,,
2026-09-04T01:49:17+00:00,blr_mxp_bid,recheck,2027-03-27,2027-04-10,52063,Akasa Air / Etihad,1,790,,,
2026-09-05T01:48:13+00:00,blr_mxp_bid,rotating,2027-03-20,2027-04-03,51970,Akasa Air / Etihad,1,790,,,
